id,anio,autor_principal,relacion,doi,titulo_oficial,autores,n_autores,revista,issn,editorial,tipo_publicacion,volumen,numero,paginas,fecha_publicacion,citas_crossref,citas_openalex,n_referencias,acceso_abierto,licencia,paises_openalex,instituciones_openalex,conceptos_openalex,financiacion,openalex_id,fuente_metadatos
001,2023,Torres,C,10.30827/profesorado.v27i1.24050,Compromiso escolar y TIC: una revisión sistemática de literatura,Andres Chiappe | Maria Emelina Torres | Javier Orlando Piraquive,3,"Profesorado, Revista de Currículum y Formación del Profesorado","1989-6395,1138-414X",Editorial de la Universidad de Granada,journal-article,27,1,471-501,2023-3-31,1,3,0,True,,CO,Universidad de La Sabana,Information and Communications Technology(0.75); Phenomenon(0.54); School dropout(0.53); Pedagogy(0.52); Dropout (neural networks)(0.51); Psychology(0.51),,W4362582995,crossref+openalex
002,2023,Apaydinli,B,10.31681/jetol.1243501,Content analysis of music education studies related to augmented reality technology,Köksal APAYDINLI (ORDU ÜNİVERSİTESİ),1,Journal of Educational Technology and Online Learning,2618-6586,Journal of Educational Technology and Online Learning,journal-article,6,2,447-481,2023-5-31,4,5,95,True,,TR,Ordu University,Computer science(0.60); Content analysis(0.57); Scopus(0.56); Field (mathematics)(0.52); Comprehension(0.47); Guitar(0.43),,W4378780652,crossref+openalex
003,2024,Fadillah,C,,,,,,,,,,,,,,,,,,,,,,,sin_doi
004,2025,Zeng,C,10.24191/ajue.v21i1.5563,Intangible Cultural Heritage in Fine Arts Curriculum in Chinese Secondary School: A Systematic Literature Review and Implications on Pre-Service Teacher Education,,0,Asian Journal of University Education,2600-9749,"UiTM Press, Universiti Teknologi MARA",journal-article,21,1,135-159,2025-2-28,4,5,0,True,,MY,Universiti Teknologi MARA,Curriculum(0.70); Pedagogy(0.57); Intangible cultural heritage(0.51); Cultural heritage(0.50); The arts(0.48); Service (business)(0.47),,W4409276013,crossref+openalex
005,2026,Saad,C,10.24191/ejssh.v10i1.9201,The impact of digital transformation in higher education: a systematic literature review,,,UiTM Institutional Repositories (Universiti Teknologi MARA),,,,,,,,,0,0,True,,MY,Universiti Teknologi MARA,Digital transformation(0.71); Knowledge management(0.58); Systematic review(0.53); Competence (human resources)(0.53); Transparency (behavior)(0.47); Scopus(0.42),,W7155723974,crossref+openalex
006,2024,Larasati,C,10.24821/resital.v25i3.14983,Bibliometric Analysis of 20 years of Traditional Music Research in Asia,Yuniar Galuh Larasati | Henky Fernando | Irwan Abdullah | Tatik Harpawati | Leanne Morin,5,Resital: Jurnal Seni Pertunjukan,"2338-6770,2085-9910",Institut Seni Indonesia Yogyakarta,journal-article,25,3,392-413,2025-4-29,2,2,0,True,,,,Traditional medicine(0.38); Medicine(0.17),,W4410468592,crossref+openalex
007,2026,Ratnasari,B,10.12928/biste.v8i2.15564,,,,,,,,,,,,,,,,,,,,,,crossref+openalex
008,2024,Arruti,C,10.58262/LEEME.54.0016,,,,,,,,,,,,,,,,,,,,,,crossref+openalex
009,2026,Hasfindra,B,,Analisis Kelayakan Penerapan Machine Learning pada Industri Musik,,,Jurnal Teknik dan Sistem Komputer,,,,,,,,,0,0,True,,ID,Universitas Muhammadiyah Riau,Ambiguity(0.62); Computer science(0.57); Dominance (genetics)(0.50); Quality (philosophy)(0.48); Selection (genetic algorithm)(0.48); Music industry(0.40),,W7172518842,openalex(title)
010,2025,Liu,C,10.24821/resital.v26i3.17607,Evolving Trends of Chinese Folk Music and Performing Arts Management in the Digital Age: A Bibliometric Analysis of Scopus-Indexed Articles Published between 2013 and 2024,Sayam Chuangprakhon | Qianqian Liu | You Lin | Warakorn Seeyo | Shujia Dong,5,Resital: Jurnal Seni Pertunjukan,"2338-6770,2085-9910",Institut Seni Indonesia Yogyakarta,journal-article,26,3,478-505,2025-12-31,0,0,0,True,,"CN,TH",Mahasarakham University; Chongqing University of Arts and Sciences; Chongqing Vocational Institute of Engineering,Performing arts(0.63); Thematic analysis(0.57); Scopus(0.53); Thematic map(0.47); The arts(0.44); China(0.41),,W7196975070,crossref+openalex
011,2026,Valencia-Arias,D,10.12688/f1000research.178134.1,"Cultural barriers in women's entrepreneurial education: Challenges, perceptions and transformation strategies",Alejandro Valencia-Arias (Instituto de Investigación de Estudios de la Mujer Santiago de Surco 15039 Universidad Ricardo Palma; Vicerrectoría de Investigación y postgrado Osorno Los Lagos Region 5290000 Universidad de Los Lagos) | Ada Gallegos (Instituto de Investigación de Estudios de la Mujer Santiago de Surco 15039 Universidad Ricardo Palma) | Jackeline Valencia (Instituto de Investigación de Estudios de la Mujer Santiago de Surco 15039 Universidad Ricardo Palma) | Ledy Gómez-Bayona (Coordinación de Investigación Medellín Antioquia 50010 Institucion Universitaria Marco Fidel Suarez) | Rutsmy Angel Manuel Gallegos Pacheco (Enfermería Lima District Lima Region 15453 Universidad Nacional de Educacion Enrique Guzman y Valle),5,F1000Research,2046-1402,F1000 Research Ltd,journal-article,15,,315,2026-2-24,0,0,52,True,https://creativecommons.org/licenses/by/4.0/,"CL,CO,PE",Universidad Ricardo Palma; Universidad de Los Lagos; Institución Universitaria Escolme; National University of Education Enrique Guzmán y Valle,Scopus(0.64); Sociocultural evolution(0.60); Empowerment(0.54); Perception(0.46); Public relations(0.45); Sociology(0.40),,W7162565100,crossref+openalex
