pais,n,%
China,61,32.3
Malasia,23,12.2
Indonesia,19,10.1
Espana,11,5.8
Peru,8,4.2
Tailandia,6,3.2
Corea del Sur,6,3.2
Turquia,5,2.6
Colombia,4,2.1
Italia,4,2.1
Finlandia,3,1.6
Estados Unidos,3,1.6
Ecuador,3,1.6
Japon,3,1.6
Alemania,2,1.1
Austria,2,1.1
Paises Bajos,1,0.5
Grecia,1,0.5
Pakistan,1,0.5
Suiza,1,0.5
Taiwan,1,0.5
Emiratos,1,0.5
Luxemburgo,1,0.5
Canada,1,0.5
Kosovo,1,0.5
Ghana,1,0.5
Dinamarca,1,0.5
Vietnam,1,0.5
Uruguay,1,0.5
Libia,1,0.5
Polonia,1,0.5
Sudafrica,1,0.5
Mongolia,1,0.5
Reino Unido,1,0.5
Noruega,1,0.5
Kazajistan,1,0.5
Mauricio,1,0.5
Irlanda,1,0.5
Hong Kong,1,0.5
Mexico,1,0.5
Yemen,1,0.5
Australia,1,0.5
