autor_principal,n,%
Li,9,4.8
Wang,8,4.2
Liu,7,3.7
Zhang,6,3.2
Mazlan,4,2.1
He,3,1.6
Feng,3,1.6
Yang,3,1.6
Deng,3,1.6
Lu,3,1.6
Torres,2,1.1
Suripah,2,1.1
Deroncele-Acosta,2,1.1
Zhou,2,1.1
Yao,2,1.1
Dong,2,1.1
Wu,2,1.1
Luo,2,1.1
Mao,2,1.1
Tang,2,1.1
Koca,2,1.1
Ma,2,1.1
Zhu,2,1.1
Apaydinli,1,0.5
Fadillah,1,0.5
Zeng,1,0.5
Saad,1,0.5
Larasati,1,0.5
Ratnasari,1,0.5
Arruti,1,0.5
Hasfindra,1,0.5
Valencia-Arias,1,0.5
Xiong,1,0.5
Mukhtar,1,0.5
Sularso,1,0.5
Arets,1,0.5
AddinulJihad,1,0.5
Musdira,1,0.5
Sahlan,1,0.5
MohdNong,1,0.5
Du,1,0.5
Lin,1,0.5
Dimitriadou,1,0.5
AbdulWahab,1,0.5
Imanulyaqin,1,0.5
Iqbal,1,0.5
Meyer,1,0.5
Tsai,1,0.5
Liang,1,0.5
Cherdchoo,1,0.5
Shehzad,1,0.5
PalominoFlores,1,0.5
Shi,1,0.5
Hu,1,0.5
Behzadaval,1,0.5
Dai,1,0.5
Olaleye,1,0.5
AtayKarlidag,1,0.5
Rui,1,0.5
Kelmendi,1,0.5
UmanJuarez,1,0.5
Usero,1,0.5
AlmeidaMonge,1,0.5
Leon-Garrido,1,0.5
Solorzano,1,0.5
Arkhrust,1,0.5
Badger,1,0.5
Nguyen,1,0.5
Lyu,1,0.5
DelPinoQuispe,1,0.5
Christensen,1,0.5
Botella,1,0.5
DelBarrio,1,0.5
Arostegui,1,0.5
Fragkou,1,0.5
Uskov,1,0.5
AlvarezAriza,1,0.5
Masoud,1,0.5
Kostrzewa,1,0.5
Califano,1,0.5
AhmadRadzuan,1,0.5
Fang,1,0.5
Peng,1,0.5
Rabbaniah,1,0.5
Gardiner,1,0.5
Zhao,1,0.5
LopezCalatayud,1,0.5
Iglesias,1,0.5
Yamada,1,0.5
Suwansomboon,1,0.5
Sonbua,1,0.5
CasesBerbel,1,0.5
Obi,1,0.5
Paredes-Ventura,1,0.5
Chuluunsaikhan,1,0.5
AhmadFauzi,1,0.5
Abdullah,1,0.5
Samma,1,0.5
Sinergie,1,0.5
Martins,1,0.5
Zhuang,1,0.5
Bosman,1,0.5
Pianda,1,0.5
Barroso-Osuna,1,0.5
Raimbergenov,1,0.5
Su,1,0.5
Varjosalo,1,0.5
AbdRazak,1,0.5
Filodiritto,1,0.5
IJLTER,1,0.5
AbdMajid,1,0.5
Vargas,1,0.5
Hamash,1,0.5
ValenzuelaRios,1,0.5
Omer,1,0.5
Palupi,1,0.5
Rodas-Coloma,1,0.5
AlAmri,1,0.5
Fante,1,0.5
Yin,1,0.5
Achmadi,1,0.5
Multani,1,0.5
Matallaoui,1,0.5
Guspian,1,0.5
Yi,1,0.5
Ekin,1,0.5
Samala,1,0.5
Dorfer,1,0.5
Ramirez-Montoya,1,0.5
Llerena,1,0.5
Aldhaheri,1,0.5
Saefan,1,0.5
Xiao,1,0.5
Ramoneda,1,0.5
Quan,1,0.5
Prasanna,1,0.5
Ren,1,0.5
