keyword,n,%
music education,26,13.8
artificial intelligence,19,10.1
bibliometric analysis,10,5.3
scoping review,8,4.2
bibliometrics,7,3.7
systematic review,7,3.7
higher education,6,3.2
systematic literature review,5,2.6
machine learning,5,2.6
deep learning,5,2.6
educacion musical,5,2.6
augmented reality,4,2.1
scopus,3,1.6
educational technology,3,1.6
creativity,3,1.6
tecnologia educativa,3,1.6
interaction,2,1.1
education 40,2,1.1
traditional music,2,1.1
digital transformation,2,1.1
generative ai,2,1.1
artificial intelligence in education,2,1.1
ai literacy,2,1.1
stem education,2,1.1
computational thinking,2,1.1
cultural heritage,2,1.1
personalized learning,2,1.1
music generation,2,1.1
choral conducting,2,1.1
transformer,2,1.1
adaptive learning,2,1.1
music pedagogy,2,1.1
real-time feedback,2,1.1
deep reinforcement learning,2,1.1
drl,2,1.1
bibliometric,2,1.1
intelligent tutoring systems,2,1.1
multimodal learning,2,1.1
music,2,1.1
personalized learning path,2,1.1
vocal music teaching,2,1.1
educational innovation,2,1.1
anxiety,2,1.1
teacher training,2,1.1
professional development,2,1.1
learning approaches,2,1.1
gamification,2,1.1
digital pedagogy,2,1.1
music teachers,2,1.1
digital education,2,1.1
vosviewer,2,1.1
collaboration,1,0.5
ict skills,1,0.5
school engagement,1,0.5
learning goals,1,0.5
instrument education,1,0.5
inquiry-based learning,1,0.5
publication trends,1,0.5
fine arts education in chinese secondary school,1,0.5
fine arts curriculum,1,0.5
intangible cultural heritage,1,0.5
pre-service teacher education,1,0.5
impact digital transformation higher education prisma slr,1,0.5
asian studies,1,0.5
prisma framework,1,0.5
audio and music artificial intelligence,1,0.5
natural language processing,1,0.5
multimodal integration,1,0.5
s educacion musical,1,0.5
talento,1,0.5
desarrollo intelectual,1,0.5
enriquecimiento,1,0.5
music industry,1,0.5
feasibility,1,0.5
copyright,1,0.5
systematic literature review slr,1,0.5
chinese folk music,1,0.5
performing arts management,1,0.5
cultural heritage preservation,1,0.5
womens entrepreneurship education,1,0.5
cultural barriers,1,0.5
female leadership,1,0.5
gender equality,1,0.5
social transformation,1,0.5
ai-based feedback systems,1,0.5
studengt learning outcomes,1,0.5
self-regulated learning,1,0.5
educational innovation leadership prisma diagram systematic literature review,1,0.5
bibliographic analysis,1,0.5
social connectedness,1,0.5
social interaction,1,0.5
vulnerable populations,1,0.5
design,1,0.5
global citizenship education,1,0.5
the climate crisis,1,0.5
environmental sustainability,1,0.5
agents of change,1,0.5
learning agility,1,0.5
measurement models,1,0.5
psychometric validation,1,0.5
technology-driven learning,1,0.5
artificial intelligence traditional music bibliometric bibliomagika music technology,1,0.5
assessment epistemology,1,0.5
islamic religious education,1,0.5
scopus database,1,0.5
student selfassessment,1,0.5
digital skills,1,0.5
career readiness,1,0.5
spectrum analysis,1,0.5
pedagogy,1,0.5
vocal music education,1,0.5
vocal technique,1,0.5
to ensure a broad and comprehensive literature retrieval the study addresses two primary inquiries firstly,1,0.5
it categorizes metaverse-based learning mbl technologies employed in music education,1,0.5
encompassing virtual reality,1,0.5
art,1,0.5
pedagogical integration,1,0.5
aprendizaje educacion museistica innovacion educativa inteligencia artificial museo inteligente realidad aumentada realidad virtual,1,0.5
bibliometric analysis education global research mapping social transformation,1,0.5
folk art,1,0.5
bibliometric review,1,0.5
handicrafts,1,0.5
art therapy,1,0.5
end-to-end document transcription  learnable symbol assembly  engineering drawing recognition  document foundation models,1,0.5
f0 estimation  singing voiceaccompaniment separation system  mmdensenet  integrated mask,1,0.5
adaptive teaching framework,1,0.5
deep q-network dqn,1,0.5
task recommendation system,1,0.5
educational data mining,1,0.5
brain-inspired spiking neural network,1,0.5
mode perception,1,0.5
symbolic music learning,1,0.5
music memory,1,0.5
average magnitude difference function method,1,0.5
improved dtw algorithm,1,0.5
bkt-er,1,0.5
vocal education,1,0.5
voice training,1,0.5
psychological quality training,1,0.5
virtual conducting,1,0.5
motion generation,1,0.5
music-motion alignment,1,0.5
thai music,1,0.5
cultural preservation,1,0.5
feedback systems,1,0.5
