termino,n,%
music,74,39.2
artificial,23,12.2
intelligence,20,10.6
university,20,10.6
bibliometric,17,9.0
teaching,17,9.0
digital,13,6.9
trends,12,6.3
higher,12,6.3
deep,11,5.8
role,10,5.3
piano,10,5.3
from,9,4.8
performance,9,4.8
chinese,8,4.2
multimodal,7,3.7
evaluation,7,3.7
development,7,3.7
intelligent,7,3.7
effects,7,3.7
scoping,7,3.7
studies,6,3.2
traditional,6,3.2
student,6,3.2
educational,6,3.2
international,6,3.2
global,6,3.2
design,6,3.2
reinforcement,6,3.2
training,6,3.2
application,6,3.2
practice,6,3.2
challenges,6,3.2
optimization,6,3.2
mapping,6,3.2
reality,5,2.6
musical,5,2.6
scopus,5,2.6
vocal,5,2.6
future,5,2.6
comprehensive,5,2.6
personalized,5,2.6
construction,5,2.6
generative,5,2.6
integrating,5,2.6
united,5,2.6
kingdom,5,2.6
cultural,4,2.1
curriculum,4,2.1
journal,4,2.1
language,4,2.1
audio,4,2.1
machine,4,2.1
management,4,2.1
feedback,4,2.1
systems,4,2.1
faculty,4,2.1
eindhoven,4,2.1
algorithm,4,2.1
innovation,4,2.1
transformation,4,2.1
recognition,4,2.1
adaptive,4,2.1
neural,4,2.1
under,4,2.1
interaction,4,2.1
information,4,2.1
technologies,4,2.1
through,4,2.1
strategies,4,2.1
among,4,2.1
impact,4,2.1
teacher,4,2.1
exploring,4,2.1
sistematica,3,1.6
literatura,3,1.6
related,3,1.6
augmented,3,1.6
secondary,3,1.6
years,3,1.6
educacion,3,1.6
folk,3,1.6
netherlands,3,1.6
models,3,1.6
pedagogies,3,1.6
knowledge,3,1.6
approaches,3,1.6
integration,3,1.6
learningbased,3,1.6
framework,3,1.6
mode,3,1.6
quality,3,1.6
online,3,1.6
virtual,3,1.6
colleges,3,1.6
innovative,3,1.6
emotional,3,1.6
computing,3,1.6
transcription,3,1.6
vocational,3,1.6
algorithms,3,1.6
article,3,1.6
human,3,1.6
creativity,3,1.6
conference,3,1.6
empirical,3,1.6
database,3,1.6
directions,3,1.6
engineering,3,1.6
practices,3,1.6
communication,3,1.6
strategy,3,1.6
students,3,1.6
enhanced,3,1.6
transfer,3,1.6
experience,3,1.6
member,3,1.6
khalid,3,1.6
revision,2,1.1
decade,2,1.1
heritage,2,1.1
arts,2,1.1
social,2,1.1
sciences,2,1.1
between,2,1.1
version,2,1.1
approved,2,1.1
planning,2,1.1
islamic,2,1.1
indonesia,2,1.1
driven,2,1.1
self,2,1.1
assessment,2,1.1
themes,2,1.1
enhancing,2,1.1
skills,2,1.1
towards,2,1.1
readiness,2,1.1
breaking,2,1.1
konstantinos,2,1.1
suripah,2,1.1
computational,2,1.1
thinking,2,1.1
stem,2,1.1
structure,2,1.1
methods,2,1.1
document,2,1.1
structured,2,1.1
realtime,2,1.1
voice,2,1.1
separation,2,1.1
network,2,1.1
western,2,1.1
composition,2,1.1
thai,2,1.1
technical,2,1.1
emotion,2,1.1
enhancement,2,1.1
preschool,2,1.1
effect,2,1.1
context,2,1.1
computer,2,1.1
vision,2,1.1
wearable,2,1.1
perception,2,1.1
recommendation,2,1.1
original,2,1.1
olaleye,2,1.1
inheritance,2,1.1
skill,2,1.1
applications,2,1.1
childrens,2,1.1
choral,2,1.1
theory,2,1.1
majors,2,1.1
path,2,1.1
platform,2,1.1
college,2,1.1
byrne,2,1.1
luis,2,1.1
alberto,2,1.1
sanchez,2,1.1
convolutional,2,1.1
networks,2,1.1
binti,2,1.1
personalised,2,1.1
automatic,2,1.1
validation,2,1.1
mobile,2,1.1
apps,2,1.1
case,2,1.1
barriers,2,1.1
genai,2,1.1
attention,2,1.1
aesthetic,2,1.1
dance,2,1.1
ethical,2,1.1
crosscultural,2,1.1
current,2,1.1
source,2,1.1
support,2,1.1
experimental,2,1.1
enhance,2,1.1
influence,2,1.1
precision,2,1.1
instrumental,2,1.1
motivation,2,1.1
tools,2,1.1
direction,2,1.1
making,2,1.1
modeling,2,1.1
software,2,1.1
motivational,2,1.1
moderating,2,1.1
literacy,2,1.1
generation,2,1.1
exercise,2,1.1
older,2,1.1
adults,2,1.1
strategic,2,1.1
movement,2,1.1
processing,2,1.1
impacto,2,1.1
inteligencia,2,1.1
detection,2,1.1
transformer,2,1.1
sustainable,2,1.1
proceedings,2,1.1
whose,2,1.1
mohamad,2,1.1
mohd,2,1.1
efficacy,2,1.1
evaluating,2,1.1
science,2,1.1
mathematics,2,1.1
opportunity,2,1.1
london,2,1.1
chamil,2,1.1
arkhasa,2,1.1
nikko,2,1.1
mazlan,2,1.1
maryam,2,1.1
multani,2,1.1
florida,2,1.1
cross,2,1.1
compromiso,1,0.5
escolar,1,0.5
content,1,0.5
inquiry,1,0.5
intangible,1,0.5
fine,1,0.5
school,1,0.5
esteem,1,0.5
humanities,1,0.5
april,1,0.5
asia,1,0.5
semantic,1,0.5
bridge,1,0.5
beneficios,1,0.5
desarrollo,1,0.5
alumnado,1,0.5
altas,1,0.5
analisis,1,0.5
kelayakan,1,0.5
penerapan,1,0.5
