revista,n
Scientific Reports,10
International Journal of Computer Information Systems and Industrial Management Applications,8
Discover Artificial Intelligence,8
Acta Psychologica,5
Música Hodie,4
International Journal of Information and Communication Technology,4
Applied Sciences,4
Sage Open,4
Frontiers in Psychology,4
Discover Education,3
Frontiers in Education,3
Resital: Jurnal Seni Pertunjukan,2
Malaysian Journal of Social Sciences and Humanities (MJSSH),2
Multimedia Tools and Applications,2
Education Sciences,2
IEEE Access,2
Humanities and Social Sciences Communications,2
Research Square,2
"Profesorado, Revista de Currículum y Formación del Profesorado",1
Journal of Educational Technology and Online Learning,1
Asian Journal of University Education,1
UiTM Institutional Repositories (Universiti Teknologi MARA),1
Jurnal Teknik dan Sistem Komputer,1
F1000Research,1
Journal of Education and Learning (EduLearn),1
"Journal of Vocational, Informatics and Computer Education",1
Jurnal Cakrawala Pendidikan,1
International Journal of Advanced Research in Future Ready Learning and Education,1
VISUAL REVIEW. International Visual Culture Review / Revista Internacional de Cultura Visual,1
JURNAL EDUSCIENCE,1
Cogent Arts & Humanities,1
Archives of Computational Methods in Engineering,1
International Journal on Document Analysis and Recognition (IJDAR),1
PeerJ Computer Science,1
Advances in Computational Intelligence and Robotics,1
International Journal of Professional Business Review,1
Machine Graphics & Vision,1
International Journal of System Assurance Engineering and Management,1
ICERI Proceedings,1
Future Technology,1
Proceedings of the AAAI Conference on Artificial Intelligence,1
International Journal of Web-Based Learning and Teaching Technologies,1
Journal of Cases on Information Technology,1
"Proceedings of the 5th LACCEI International Multiconference on Entrepreneurship, Innovation and Regional Development (LEIRD 2025): ""Entrepreneurship with Purpose: Social and Technological Innovation in the Age of AI""",1
Cogent Education,1
Annals of Data Science,1
Discover Internet of Things,1
Aula Abierta,1
grafica,1
International Journal of Technology in Education,1
European Journal of Educational Research,1
Multidisciplinary Reviews,1
Sapienza: International Journal of Interdisciplinary Studies,1
Language Teaching,1
Journal of Cultural Cognitive Science,1
Per Musi,1
PeerJ,1
Action Criticism and Theory for Music Education,1
International Journal of Information and Communication Technology Education,1
Information,1
"Smart Innovation, Systems and Technologies",1
Bulletin of Islamic Research,1
International Journal of Language Education and Applied Linguistics,1
Animals,1
International Journal of Evaluation and Research in Education (IJERE),1
Journal of Intelligence,1
SN Computer Science,1
Multicultural Islamic Education Review,1
Revista Colombiana de Educación,1
Electronics,1
Rangsit Music Journal,1
Behavioral Sciences,1
HighTech and Innovation Journal,1
Studies in Media and Communication,1
DOAJ (DOAJ: Directory of Open Access Journals),1
Dialnet (Universidad de la Rioja),1
International Journal of Basic Educational Research,1
Korean Music Education Society,1
International Journal of Distance Education Technologies,1
Communications Engineering,1
Jurnal Komunikasi: Malaysian Journal of Communication,1
PLOS One,1
Sinergie Italian Journal of Management,1
Sustainable Development,1
Sustainability,1
Behaviour & Information Technology,1
Cogent Business & Management,1
Revista de Educación a Distancia (RED),1
Discover Computing,1
International Journal of Business and Technology Management,1
International Journal of Education and Practice,1
ENLIGHTEN (Jurnal Bimbingan dan Konseling Islam),1
Education as Change,1
Education Innovations: Systems and Future Learning,1
"International Journal of Current Research in Science, Engineering & Technology",1
Contemporary Educational Technology,1
Jurnal Gantang,1
Frontiers in Sports and Active Living,1
International Journal of Sustainable Development and Planning,1
Proceedings of the ... Annual Hawaii International Conference on System Sciences/Proceedings of the Annual Hawaii International Conference on System Sciences,1
Jurnal Riset dan Inovasi Pembelajaran,1
"International Journal of Cognitive Research in Science, Engineering and Education (IJCRSEE)",1
Artificial Intelligence Review,1
Education and Information Technologies,1
Educational technology research and development,1
TechTrends,1
Zeitschrift für Bildungsforschung,1
Smart Learning Environments,1
Journal of Computers in Education,1
DIGITAL HEALTH,1
Expert Systems with Applications,1
Chemical Engineering Journal,1
Systems and Soft Computing,1
