id,anio,autor,relacion,citas_openalex,citas_crossref,revista,titulo
198,2017,Matallaoui,D,740,0,Proceedings of the ... Annual Hawaii International Conference on System Sciences/Proceedings of the Annual Hawaii International Conference on System Sciences,Proceedings of the 50th Hawaii International Conference on System Sciences (2017)
159,2024,Bosman,C,83,81,Behaviour &amp; Information Technology,The effect of audio on the experience in virtual reality: a scoping review
203,2024,Yi,A,78,66,Artificial Intelligence Review,The key artificial intelligence technologies in early childhood education: a review
102,2025,AlvarezAriza,C,47,51,IEEE Access,Generative AI in Engineering and Computing Education: A Scoping Review of Empirical Studies and Educational Practices
160,2024,Pianda,D,32,33,Cogent Business &amp; Management,The impact of internship experience on the employability of vocational students: a bibliometric and systematic review
183,2024,Hamash,C,29,28,Education Sciences,Breaking through Barriers: A Systematic Review of Extended Reality in Education for the Visually Impaired
186,2023,Mazlan,B,22,19,Contemporary Educational Technology,Exploring the integration of bite-sized learning: A scoping review of research in education and related disciplines
026,2021,AbdulWahab,C,17,6,Malaysian Journal of Social Sciences and Humanities (MJSSH),The Big Why of Implementing Computational Thinking In STEM Education: A Systematic Literature Review
100,2021,Uskov,C,15,5,"Smart Innovation, Systems and Technologies",Smart Education and e-Learning 2021
181,2024,Deroncele-Acosta,C,14,12,Sage Open,Ten Essential Pillars in Artificial Intelligence for University Science Education: A Scoping Review
213,2025,Mazlan,C,14,14,Humanities and Social Sciences Communications,Music in cultural tourism: insights from a dual approach of scoping review and bibliometric analysis
208,2024,Feng,C,13,12,Educational technology research and development,Is metaverse a buzzword in education? Insights from a systematic review
207,2025,Ekin,C,9,10,Education and Information Technologies,Artificial intelligence in education: A text mining-based review of the past 56 years
178,2025,AbdMajid,D,8,7,Sage Open,Technological Empowerment in Education: A Systematic Review
088,2026,Zhang,B,7,7,Language Teaching,Embodied music training can help improve speech imitation and pronunciation skills
057,2026,Mazlan,B,6,6,Discover Education,Artificial intelligence applications and pedagogical challenges in music education
081,2024,Leon-Garrido,B,6,6,Aula Abierta,Diseño y validación de un instrumento de evaluación para apps móviles musicales a través del juicio de expertos
002,2023,Apaydinli,B,5,4,Journal of Educational Technology and Online Learning,Content analysis of music education studies related to augmented reality technology
004,2025,Zeng,C,5,4,Asian Journal of University Education,Intangible Cultural Heritage in Fine Arts Curriculum in Chinese Secondary School: A Systematic Literature Review and Implications on Pre-Service Teacher Education
053,2022,Olaleye,D,5,2,ICERI Proceedings,ICERI2022 Proceedings
084,2026,Badger,C,5,5,International Journal of Technology in Education,&lt;b&gt;The Impact of GenAI Chatbots on Student Learning in Higher Education: A Literature Review  &lt;/b&gt;
085,2025,Nguyen,C,5,5,European Journal of Educational Research,Applying Augmented Reality Technology in STEM Education: A Bibliometrics Analysis in Scopus Database
155,2025,Martins,D,5,6,Sustainable Development,The Role of Hybrid Learning in Achieving the Sustainable Development Goals
211,2025,Ramirez-Montoya,D,5,5,Smart Learning Environments,Technologies and strategies in collaborative online international learning: systematic literature mapping
022,2024,Lin,B,4,4,International Journal of Advanced Research in Future Ready Learning and Education,A Systematic Review of Metaverse-Based Learning in Music Education
113,2026,Fang,C,4,4,SN Computer Science,"Integrating Generative AI in Higher Art Education: A Systematic Review of Tools, Pedagogies, and Practices"
153,2025,Samma,C,4,4,PLOS One,Sight-over-sound effect depends on interaction between evaluators’ musical experience and auditory-visual integration: An examination using Japanese brass band competition recordings
154,2025,Sinergie,D,4,0,Sinergie Italian Journal of Management,Tertiarization & sustainability new challenges for management in the digital era
189,2026,Li,B,4,5,Frontiers in Education,21st-century skills in vocal pedagogy: a scoping review
226,2026,Deng,A,4,4,Acta Psychologica,AI-driven emotional intelligence in piano education: Deep learning models for expressive performance coaching
