doc_a,titulo_a,rel_a,doc_b,titulo_b,rel_b,refs_compartidas
057,Artificial intelligence applications and pedagogical challenges in mus,B,213,Music in cultural tourism: insights from a dual approach of scoping re,C,7
127,Music Learning Self-Efficacy and Deliberate Music Practice: The Mediat,B,180,A Systematic Review of Artificial Intelligence in Piano Education: Eff,B,7
200,Analisis Perkembangan Teknologi dan Tren Terkini Pada Platform Metaver,C,208,Is metaverse a buzzword in education? Insights from a systematic revie,C,6
031,A lightweight real-time karaoke system with improved singing voice sep,C,104,How Far Can a U-Net Go? An Empirical Analysis of Music Source Separati,C,5
057,Artificial intelligence applications and pedagogical challenges in mus,B,226,AI-driven emotional intelligence in piano education: Deep learning mod,A,5
077,Deep learning-based personalized learning path planning and optimizati,A,164,The application of deep reinforcement learning in music teaching inter,A,4
112,Instrumental Learning Approaches in Pre-Professional Music Students: A,C,127,Music Learning Self-Efficacy and Deliberate Music Practice: The Mediat,B,4
128,Music and body motion contribute asymmetrically to emotion perception ,C,153,Sight-over-sound effect depends on interaction between evaluators’ mus,C,4
180,A Systematic Review of Artificial Intelligence in Piano Education: Eff,B,207,Artificial intelligence in education: A text mining-based review of th,C,4
180,A Systematic Review of Artificial Intelligence in Piano Education: Eff,B,226,AI-driven emotional intelligence in piano education: Deep learning mod,A,4
186,Exploring the integration of bite-sized learning: A scoping review of ,B,189,21st-century skills in vocal pedagogy: a scoping review,B,4
029,A Comprehensive Review of Audio Segmentation and Classification: from ,C,152,Self-supervised multimodal transformer for fine-grained detection of c,A,3
055,Artificial Intelligence-Supported Solfège Instruction in Higher Music ,B,057,Artificial intelligence applications and pedagogical challenges in mus,B,3
055,Artificial Intelligence-Supported Solfège Instruction in Higher Music ,B,077,Deep learning-based personalized learning path planning and optimizati,A,3
055,Artificial Intelligence-Supported Solfège Instruction in Higher Music ,B,164,The application of deep reinforcement learning in music teaching inter,A,3
055,Artificial Intelligence-Supported Solfège Instruction in Higher Music ,B,180,A Systematic Review of Artificial Intelligence in Piano Education: Eff,B,3
057,Artificial intelligence applications and pedagogical challenges in mus,B,077,Deep learning-based personalized learning path planning and optimizati,A,3
057,Artificial intelligence applications and pedagogical challenges in mus,B,113,Integrating Generative AI in Higher Art Education: A Systematic Review,C,3
057,Artificial intelligence applications and pedagogical challenges in mus,B,180,A Systematic Review of Artificial Intelligence in Piano Education: Eff,B,3
059,Artificial intelligence technology for music teaching reform mode unde,B,157,Teaching activity design and psychological practice of music majors un,B,3
069,Construction and Practice of the Music Curriculum System in Artificial,B,139,Optimization of music teaching effects based on AI audio processing te,B,3
069,Construction and Practice of the Music Curriculum System in Artificial,B,164,The application of deep reinforcement learning in music teaching inter,A,3
077,Deep learning-based personalized learning path planning and optimizati,A,139,Optimization of music teaching effects based on AI audio processing te,B,3
102,Generative AI in Engineering and Computing Education: A Scoping Review,C,180,A Systematic Review of Artificial Intelligence in Piano Education: Eff,B,3
112,Instrumental Learning Approaches in Pre-Professional Music Students: A,C,180,A Systematic Review of Artificial Intelligence in Piano Education: Eff,B,3
112,Instrumental Learning Approaches in Pre-Professional Music Students: A,C,224,Generative AI in music learning: A mixed-method study of skill develop,B,3
127,Music Learning Self-Efficacy and Deliberate Music Practice: The Mediat,B,225,Research on the acceptance of Chinese traditional music and student cu,C,3
160,The impact of internship experience on the employability of vocational,D,209,A Comprehensive Bibliometric-Systematic Literature Review (B + SLR) of,C,3
189,21st-century skills in vocal pedagogy: a scoping review,B,210,Out-of-field teaching—An opportunity for cross-curricular teaching in ,D,3
189,21st-century skills in vocal pedagogy: a scoping review,B,213,Music in cultural tourism: insights from a dual approach of scoping re,C,3
192,Neuroscience meets the classroom: a scoping review of translational re,C,213,Music in cultural tourism: insights from a dual approach of scoping re,C,3
022,A Systematic Review of Metaverse-Based Learning in Music Education,B,096,Exploring the Role of Digital Traditional Music Platforms in Cross-Cul,B,2
022,A Systematic Review of Metaverse-Based Learning in Music Education,B,208,Is metaverse a buzzword in education? Insights from a systematic revie,C,2
055,Artificial Intelligence-Supported Solfège Instruction in Higher Music ,B,069,Construction and Practice of the Music Curriculum System in Artificial,B,2
055,Artificial Intelligence-Supported Solfège Instruction in Higher Music ,B,139,Optimization of music teaching effects based on AI audio processing te,B,2
055,Artificial Intelligence-Supported Solfège Instruction in Higher Music ,B,194,Mechanisms and outcomes of flipped music education: a conceptual frame,B,2
057,Artificial intelligence applications and pedagogical challenges in mus,B,069,Construction and Practice of the Music Curriculum System in Artificial,B,2
057,Artificial intelligence applications and pedagogical challenges in mus,B,127,Music Learning Self-Efficacy and Deliberate Music Practice: The Mediat,B,2
057,Artificial intelligence applications and pedagogical challenges in mus,B,189,21st-century skills in vocal pedagogy: a scoping review,B,2
057,Artificial intelligence applications and pedagogical challenges in mus,B,193,AI-driven psychological and cognitive decision processes in profession,B,2
059,Artificial intelligence technology for music teaching reform mode unde,B,065,Comprehensive evaluation of folk music teaching effects based on multi,A,2
059,Artificial intelligence technology for music teaching reform mode unde,B,069,Construction and Practice of the Music Curriculum System in Artificial,B,2
068,Construction and Empirical Study of Music Education Model Based Upon B,B,069,Construction and Practice of the Music Curriculum System in Artificial,B,2
069,Construction and Practice of the Music Curriculum System in Artificial,B,077,Deep learning-based personalized learning path planning and optimizati,A,2
069,Construction and Practice of the Music Curriculum System in Artificial,B,157,Teaching activity design and psychological practice of music majors un,B,2
077,Deep learning-based personalized learning path planning and optimizati,A,226,AI-driven emotional intelligence in piano education: Deep learning mod,A,2
083,Digital technology adoption and perceived barriers in music compositio,B,193,AI-driven psychological and cognitive decision processes in profession,B,2
096,Exploring the Role of Digital Traditional Music Platforms in Cross-Cul,B,139,Optimization of music teaching effects based on AI audio processing te,B,2
102,Generative AI in Engineering and Computing Education: A Scoping Review,C,159,The effect of audio on the experience in virtual reality: a scoping re,C,2
102,Generative AI in Engineering and Computing Education: A Scoping Review,C,192,Neuroscience meets the classroom: a scoping review of translational re,C,2
113,Integrating Generative AI in Higher Art Education: A Systematic Review,C,180,A Systematic Review of Artificial Intelligence in Piano Education: Eff,B,2
127,Music Learning Self-Efficacy and Deliberate Music Practice: The Mediat,B,224,Generative AI in music learning: A mixed-method study of skill develop,B,2
139,Optimization of music teaching effects based on AI audio processing te,B,226,AI-driven emotional intelligence in piano education: Deep learning mod,A,2
157,Teaching activity design and psychological practice of music majors un,B,164,The application of deep reinforcement learning in music teaching inter,A,2
159,The effect of audio on the experience in virtual reality: a scoping re,C,186,Exploring the integration of bite-sized learning: A scoping review of ,B,2
159,The effect of audio on the experience in virtual reality: a scoping re,C,189,21st-century skills in vocal pedagogy: a scoping review,B,2
159,The effect of audio on the experience in virtual reality: a scoping re,C,192,Neuroscience meets the classroom: a scoping review of translational re,C,2
