id,anio,autor_principal,pais,titulo,tipo,relacion,categoria_tecnologica,categoria_dominio,tecnologia,dominio,doi
001,2023,Torres,Colombia,Compromiso escolar y TIC: una revisión sistemática de literatura,RS,C,Apps moviles / plataformas / TIC,Educacion general / superior (no musical),TIC,educación general,10.30827/profesorado.v27i1.24050
002,2023,Apaydinli,Turquia,Content analysis of music education studies related to augmented reality technology,BIB,B,Realidad virtual / aumentada / XR,Educacion musical (general / superior / secundaria),realidad aumentada,educación musical / instrumento,10.31681/jetol.1243501
003,2024,Fadillah,Indonesia,One Decade of Inquiry-Based Learning in,BIB,C,Metodo bibliometrico,Educacion general / superior (no musical),método bibliométrico,educación en ciencias,
004,2025,Zeng,Malasia,Intangible Cultural Heritage in Fine Arts Curriculum in Chinese Secondary School: A Systematic Literature Review,RS,C,Otro / sin tecnologia,Educacion general / superior (no musical),—,educación artística,10.24191/ajue.v21i1.5563
005,2026,Saad,Malasia,"ESTEEM Journal of Social Sciences and Humanities Vol 10, April 2026, 60-79",RS,C,Apps moviles / plataformas / TIC,Educacion general / superior (no musical),transformación digital,educación superior,10.24191/ejssh.v10i1.9201
006,2024,Larasati,Indonesia,Bibliometric analysis of 20 years of traditional music research trends in Asia: 2004-2024,BIB,C,Metodo bibliometrico,Musica tradicional / patrimonio / etnomusicologia,VOSviewer / Biblioshiny,música tradicional,10.24821/resital.v25i3.14983
007,2026,Ratnasari,Indonesia,"Language as the Semantic Bridge in Audio, Music, and Multimodal Artificial Intelligence: A Systematic Review",RS,B,Multimodal / afectivo,Otro,IA multimodal / NLP,audio y música (IA),10.12928/biste.v8i2.15564
008,2024,Arruti,España,Beneficios de la Educación Musical en el Desarrollo del Alumnado con Altas,RS,C,Otro / sin tecnologia,Educacion musical (general / superior / secundaria),—,educación musical,10.58262/LEEME.54.0016
009,2026,Hasfindra,Indonesia,ANALISIS KELAYAKAN PENERAPAN MACHINE LEARNING PADA INDUSTRI MUSIK,RS,B,Otro / sin tecnologia,Otro,machine learning,industria musical / educación,
010,2025,Liu,Tailandia,Evolving trends of Chinese folk music and performing arts management in the digital age: a bibliometric analysis of Scopus-indexed articles published between 2013 and 2024,BIB,C,Metodo bibliometrico,Musica tradicional / patrimonio / etnomusicologia,método bibliométrico,música folclórica china,10.24821/resital.v26i3.17607
011,2026,Valencia-Arias,Peru,"[version 3; peer review: 1 approved, 2 approved with reservations]",RS,D,Otro / sin tecnologia,Educacion general / superior (no musical),—,educación en emprendimiento,10.12688/f1000research.178134.1
012,2026,Xiong,Malasia,Al-Based Feedback Systems and Student Learning Outcomes in Higher Education: A,RS,C,Otro / sin tecnologia,Educacion general / superior (no musical),IA / feedback automatizado,educación superior,10.70917/ijcisim-2026-2164
013,2025,Mukhtar,Malasia,"1Department of Educational Management, Planning, and Policy, Faculty of Education, Unive",RS,D,Otro / sin tecnologia,Educacion general / superior (no musical),—,liderazgo educativo,10.11591/edulearn.v19i4.23239
014,2024,Sularso,Indonesia,"JOIV : Int. J. Inform. Visualization, 9(2) - March 2025 718-727",BIB,B,Otro / sin tecnologia,Educacion musical (general / superior / secundaria),"IA (ML, NLP, visión, DL)",educación musical,
015,2025,Arets,Paises Bajos,"TEIS T.J.E. ARETS, Eindhoven University of Technology, The Netherlands GIULIA PERUGIA, Eindhoven University of Technology, The Netherlands MAARTEN HOUBEN, Eindhoven University of Technology, The Netherlands WIJNAND A. IJSSELSTEIJN, Eindhoven University of Technology, The Nethe",SCOP,C,IA generativa / LLM,Educacion general / superior (no musical),IA generativa / LLM,interacción social,
016,2026,AddinulJihad,Indonesia,"Fauzan Addinul Jihad, Hamka Al Hakim, Rodiatun Mardiah Faculty of Islamic Religion, Universitas Muhammadiyah Surakarta, Indonesia",RS,D,Otro / sin tecnologia,Educacion general / superior (no musical),—,ciudadanía global / ODS,
017,2026,Musdira,Indonesia,Learning Agility Measurement Models in Technology-Driven Learning Environments: A Systematic Literature Review,RS,C,Otro / sin tecnologia,Otro,—,entornos de aprendizaje tecnológicos,10.66053/voice.v4i2.472
